a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1027824,0,0:00,7,0,0,D,1,Simon Lundmark,,324,Syracuse Crunch,home
0,1,,1027824,0,0:00,9,2,1,C,4,Wojciech Stachowiak,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,11,0,0,C,1,Lucas Mercuri,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,13,0,0,LW,2,Brendan Furry,,324,Syracuse Crunch,home
1,0,,1027824,0,0:00,14,2,0,LW,1,Tristan Allard,,324,Syracuse Crunch,home
1,0,,1027824,0,0:00,17,0,2,C,2,Dominic James,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,20,5,0,RW,0,Cooper Flinton,,324,Syracuse Crunch,home
1,0,,1027824,0,0:00,22,0,2,LW,3,Jakob Pelletier,,324,Syracuse Crunch,home
1,0,,1027824,0,0:00,23,0,2,D,5,Maxim Groshev,,324,Syracuse Crunch,home
1,0,,1027824,0,0:00,25,0,1,LW,0,Dylan Duke,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,45,0,0,D,1,Charle-Édouard D’Astous,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,61,0,1,RW,2,Boris Katchouk,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,72,0,2,D,4,Declan Carlile,,324,Syracuse Crunch,home
0,2,,1027824,0,0:00,75,0,2,D,2,Matteo Pietroniro,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,76,0,0,D,1,Roman Schmidt,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,79,0,1,RW,1,Ethan Gauthier,,324,Syracuse Crunch,home
1,0,,1027824,0,0:00,80,0,1,RW,1,Nick Abruzzese,,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,95,0,0,C,3,Gabriel Szturc,,324,Syracuse Crunch,home
0,0,0,1027824,1,60:00,31,0,0,G,,Brandon Halverson,31,324,Syracuse Crunch,home
0,0,0,1027824,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,home
0,0,,1027824,0,0:00,5,0,-1,D,2,Jack Rathbone,,323,Rochester Americans,away
0,0,,1027824,0,0:00,7,0,0,C,0,Jake Leschyshyn,,323,Rochester Americans,away
0,0,,1027824,0,0:00,8,0,0,LW,0,Jagger Joshua,,323,Rochester Americans,away
0,0,,1027824,0,0:00,12,0,-2,LW,2,Riley Fiddler-Schultz,,323,Rochester Americans,away
0,0,,1027824,0,0:00,16,0,0,LW,2,Trevor Kuntar,,323,Rochester Americans,away
0,0,,1027824,0,0:00,18,0,0,RW,3,Isak Rosén,,323,Rochester Americans,away
0,0,,1027824,0,0:00,19,0,0,LW,2,Graham Slaggert,,323,Rochester Americans,away
0,0,,1027824,0,0:00,20,0,-1,RW,1,Olivier Nadeau,,323,Rochester Americans,away
0,0,,1027824,0,0:00,21,0,0,LW,1,Tyler Kopff,,323,Rochester Americans,away
0,0,,1027824,0,0:00,23,4,0,D,0,Ryan Johnson,,323,Rochester Americans,away
0,0,,1027824,0,0:00,39,0,-2,D,2,Zac Jones,,323,Rochester Americans,away
0,0,,1027824,0,0:00,45,0,-1,RW,0,Brendan Warren,,323,Rochester Americans,away
0,0,,1027824,0,0:00,57,5,0,D,0,Radim Mrtka,,323,Rochester Americans,away
0,0,,1027824,0,0:00,74,0,-1,D,2,Nikita Novikov,,323,Rochester Americans,away
0,0,,1027824,0,0:00,79,0,-2,RW,3,Viktor Neuchev,,323,Rochester Americans,away
0,0,,1027824,0,0:00,83,0,-2,D,2,Vsevolod Komarov,,323,Rochester Americans,away
0,0,,1027824,0,0:00,86,2,-1,C,5,Noah Östlund,,323,Rochester Americans,away
0,0,,1027824,0,0:00,91,0,-2,C,4,Konsta Helenius,,323,Rochester Americans,away
0,0,0,1027824,1,,27,0,0,G,,Devon Levi,0,323,Rochester Americans,away
0,0,3,1027824,1,59:45,47,0,0,G,,Alexandar Georgiev,31,323,Rochester Americans,away
