a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028996,0,0:00,4,0,0,D,4,Corson Ceulemans,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,5,0,0,D,2,Stanislav Svozil,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,6,0,-1,D,0,Dysin Mayo,,373,Cleveland Monsters,home
1,0,,1028996,0,0:00,10,0,-1,F,4,Luca Del Bel Belluz,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,12,2,-1,C,1,Owen Sillinger,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,16,0,0,C,0,Brendan Gaunce,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,20,5,-1,RW,1,Hudson Fasching,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,21,0,0,LW,0,Zach Aston-Reese,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,24,0,-1,LW,2,Justin Pearson,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,25,16,0,RW,0,Riley Bezeau,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,26,0,-1,D,1,Guillaume Richard,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,29,0,-1,C,4,Jack Williams,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,37,4,-1,LW,2,Roman Ahcan,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,39,0,-2,D,1,Will Butcher,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,41,0,-1,C,3,Hunter McKown,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,53,2,0,LW,3,Luca Pinelli,,373,Cleveland Monsters,home
0,0,,1028996,0,0:00,54,0,-2,D,1,Luca Marrelli,,373,Cleveland Monsters,home
0,1,,1028996,0,0:00,82,0,-2,LW,4,Mikael Pyyhtiä,,373,Cleveland Monsters,home
0,0,4,1028996,1,13:15,28,0,0,G,,Ivan Fedotov,2,373,Cleveland Monsters,home
0,0,0,1028996,1,46:45,35,0,0,G,,Evan Gardner,10,373,Cleveland Monsters,home
1,0,,1028996,0,0:00,5,0,2,D,1,Ian Mitchell,,324,Syracuse Crunch,away
1,1,,1028996,0,0:00,8,0,1,D,2,Tommy Miller,,324,Syracuse Crunch,away
1,1,,1028996,0,0:00,11,4,2,C,1,Lucas Mercuri,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,14,0,0,RW,0,Tristan Allard,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,16,4,0,D,1,Steven Santini,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,18,0,0,C,0,Reece Newkirk,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,20,0,0,LW,1,Cooper Flinton,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,21,0,0,LW,0,Mitchell Chaffee,,324,Syracuse Crunch,away
2,1,,1028996,0,0:00,22,2,2,LW,3,Jakob Pelletier,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,23,4,0,D,1,Maxim Groshev,,324,Syracuse Crunch,away
1,0,,1028996,0,0:00,25,0,1,LW,0,Dylan Duke,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,28,0,1,D,0,Jarred Tinordi,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,41,0,0,RW,0,Spencer Kersten,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,63,0,0,C,0,Matthew Peca,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,75,7,2,D,0,Matteo Pietroniro,,324,Syracuse Crunch,away
0,0,,1028996,0,0:00,79,0,1,RW,1,Ethan Gauthier,,324,Syracuse Crunch,away
1,0,,1028996,0,0:00,80,0,2,RW,2,Nick Abruzzese,,324,Syracuse Crunch,away
0,1,,1028996,0,0:00,95,0,1,C,3,Gabriel Szturc,,324,Syracuse Crunch,away
0,0,1,1028996,1,60:00,31,0,0,G,,Brandon Halverson,32,324,Syracuse Crunch,away
0,0,0,1028996,1,,32,0,0,G,,Jon Gillies,0,324,Syracuse Crunch,away
