a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028344,0,0:00,8,0,0,D,0,Tommy Miller,,324,Syracuse Crunch,home
0,1,,1028344,0,0:00,11,5,1,C,2,Lucas Mercuri,,324,Syracuse Crunch,home
2,1,,1028344,0,0:00,13,0,3,LW,2,Brendan Furry,,324,Syracuse Crunch,home
1,0,,1028344,0,0:00,14,0,3,C,0,Tristan Allard,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,20,0,-1,RW,3,Cooper Flinton,,324,Syracuse Crunch,home
0,1,,1028344,0,0:00,22,0,1,LW,5,Jakob Pelletier,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,23,0,1,D,1,Maxim Groshev,,324,Syracuse Crunch,home
0,1,,1028344,0,0:00,25,0,-1,LW,2,Dylan Duke,,324,Syracuse Crunch,home
1,0,,1028344,0,0:00,28,0,3,D,2,Jarred Tinordi,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,38,2,0,D,2,Wyatt Newpower,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,39,0,0,LW,1,Curtis Douglas,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,41,0,0,RW,1,Spencer Kersten,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,42,2,1,D,4,Ethan Samson,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,75,0,1,D,1,Matteo Pietroniro,,324,Syracuse Crunch,home
1,0,,1028344,0,0:00,79,0,1,RW,3,Ethan Gauthier,,324,Syracuse Crunch,home
2,0,,1028344,0,0:00,80,0,1,RW,1,Nick Abruzzese,,324,Syracuse Crunch,home
0,1,,1028344,0,0:00,94,2,2,C,4,Conor Geekie,,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,95,0,-1,C,2,Gabriel Szturc,,324,Syracuse Crunch,home
0,0,0,1028344,1,,32,0,0,G,,Jon Gillies,0,324,Syracuse Crunch,home
0,0,2,1028344,1,60:00,59,0,0,G,,Ryan Fanti,35,324,Syracuse Crunch,home
0,0,,1028344,0,0:00,2,0,0,D,0,Calen Addison,,390,Utica Comets,away
0,0,,1028344,0,0:00,4,0,0,D,1,Dennis Cholowski,,390,Utica Comets,away
1,0,,1028344,0,0:00,9,0,-2,LW,6,Angus Crookshank,,390,Utica Comets,away
0,0,,1028344,0,0:00,11,5,-1,RW,1,Nathan Légaré,,390,Utica Comets,away
0,0,,1028344,0,0:00,12,0,0,F,1,Cam Squires,,390,Utica Comets,away
0,0,,1028344,0,0:00,13,0,0,F,1,Jack Malone,,390,Utica Comets,away
0,0,,1028344,0,0:00,15,2,-1,C,2,Kyle Criscuolo,,390,Utica Comets,away
0,1,,1028344,0,0:00,18,0,-1,F,4,Shane Lachance,,390,Utica Comets,away
0,0,,1028344,0,0:00,19,2,0,F,1,Josh Filmon,,390,Utica Comets,away
1,0,,1028344,0,0:00,22,0,-2,D,1,Seamus Casey,,390,Utica Comets,away
0,1,,1028344,0,0:00,24,0,0,F,4,Brian Halonen,,390,Utica Comets,away
1,0,,1028344,0,0:00,26,0,-1,C,4,Ryan Schmelzer,,390,Utica Comets,away
0,0,,1028344,0,0:00,29,2,-2,F,3,Lenni Hämeenaho,,390,Utica Comets,away
0,0,,1028344,0,0:00,38,0,-1,D,1,Topias Vilen,,390,Utica Comets,away
0,0,,1028344,0,0:00,44,0,-1,D,3,Dmitry Osipov,,390,Utica Comets,away
1,0,,1028344,0,0:00,67,0,0,F,2,Xavier Parent,,390,Utica Comets,away
0,0,,1028344,0,0:00,73,0,-2,D,2,Ethan Edwards,,390,Utica Comets,away
0,0,,1028344,0,0:00,74,0,-2,F,0,Thomas Bordeleau,,390,Utica Comets,away
0,0,0,1028344,1,,31,0,0,G,,Jakub Málek,0,390,Utica Comets,away
0,0,4,1028344,1,58:11,50,0,0,G,,Nico Daws,31,390,Utica Comets,away
