game_id,event,period,time,shooter_id,shooter_first,shooter_last,shooter_team_id,goalie_id,goalie_first,goalie_last,is_goal,shot_quality,shot_type,x,y
1028785,shot,1,0:28,9202,Conor,Geekie,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,114,255
1028785,shot,1,0:39,8744,Jakob,Pelletier,324,10066,Scott,Ratzlaff,True,Non quality goal,Default,201,118
1028785,goal,1,0:39,8744,Jakob,Pelletier,,,,,,,,201,118
1028785,shot,1,2:25,10607,Ethan,Gauthier,324,10066,Scott,Ratzlaff,True,Quality goal,Default,60,171
1028785,goal,1,2:25,10607,Ethan,Gauthier,,,,,,,,60,171
1028785,shot,1,3:13,8864,Zac,Jones,323,9096,Ryan,Fanti,False,Non quality on net,Default,412,105
1028785,shot,1,4:10,9923,Riley,Fiddler-Schultz,323,9096,Ryan,Fanti,False,Non quality on net,Default,562,171
1028785,shot,1,4:11,9923,Riley,Fiddler-Schultz,323,9096,Ryan,Fanti,False,Quality on net,Default,550,163
1028785,shot,1,4:59,9761,Olivier,Nadeau,323,9096,Ryan,Fanti,True,Quality goal,Default,535,162
1028785,goal,1,4:59,9761,Olivier,Nadeau,,,,,,,,535,162
1028785,shot,1,5:08,7622,Jake,Leschyshyn,323,9096,Ryan,Fanti,False,Non quality on net,Default,525,201
1028785,shot,1,5:45,10444,Konsta,Helenius,323,9096,Ryan,Fanti,False,Non quality on net,Default,412,135
1028785,shot,1,6:11,9743,Zach,Metsa,323,9096,Ryan,Fanti,False,Non quality on net,Default,410,235
1028785,shot,1,6:19,9700,Trevor,Kuntar,323,9096,Ryan,Fanti,False,Non quality on net,Default,447,96
1028785,shot,1,6:29,9700,Trevor,Kuntar,323,9096,Ryan,Fanti,False,Quality on net,Default,519,110
1028785,shot,1,9:08,7622,Jake,Leschyshyn,323,9096,Ryan,Fanti,False,Non quality on net,Default,471,39
1028785,shot,1,11:24,9896,Maxim,Groshev,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,91,261
1028785,shot,1,11:35,10566,Lucas,Mercuri,324,10066,Scott,Ratzlaff,False,Quality on net,Default,40,135
1028785,shot,1,11:54,9202,Conor,Geekie,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,171,46
1028785,shot,1,12:24,4666,Jarred,Tinordi,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,183,251
1028785,shot,1,13:01,8667,Ian,Mitchell,324,10066,Scott,Ratzlaff,False,Quality on net,Default,57,133
1028785,shot,1,14:02,9215,Noah,Laaouan,323,9096,Ryan,Fanti,False,Non quality on net,Default,432,175
1028785,shot,1,15:04,9923,Riley,Fiddler-Schultz,323,9096,Ryan,Fanti,True,Non quality goal,Default,540,189
1028785,goal,1,15:04,9923,Riley,Fiddler-Schultz,,,,,,,,540,189
1028785,shot,1,15:40,9743,Zach,Metsa,323,9096,Ryan,Fanti,False,Non quality on net,Default,409,187
1028785,shot,1,16:30,9563,Nick,Abruzzese,324,10066,Scott,Ratzlaff,False,Quality on net,Default,127,183
1028785,shot,1,16:54,8864,Zac,Jones,323,9096,Ryan,Fanti,True,Quality goal,Default,477,226
1028785,goal,1,16:54,8864,Zac,Jones,,,,,,,,477,226
1028785,shot,1,17:19,5896,Matthew,Peca,324,10066,Scott,Ratzlaff,False,Quality on net,Default,113,195
1028785,shot,1,17:36,9823,Ethan,Samson,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,206,133
1028785,shot,1,17:49,8884,Matteo,Pietroniro,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,211,249
1028785,shot,1,18:11,8667,Ian,Mitchell,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,160,243
1028785,shot,1,18:12,8884,Matteo,Pietroniro,324,10066,Scott,Ratzlaff,False,Quality on net,Default,75,139
1028785,shot,1,18:18,9896,Maxim,Groshev,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,176,265
1028785,shot,1,19:07,9754,Tristan,Allard,324,10066,Scott,Ratzlaff,False,Quality on net,Default,58,171
1028785,shot,1,19:43,5896,Matthew,Peca,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,171,108
1028785,shot,2,1:21,8884,Matteo,Pietroniro,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,153,250
1028785,shot,2,1:40,8667,Ian,Mitchell,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,189,69
1028785,shot,2,3:10,10607,Ethan,Gauthier,324,10066,Scott,Ratzlaff,False,Quality on net,Default,86,109
1028785,shot,2,3:56,10986,Max,Grondin,324,10066,Scott,Ratzlaff,False,Quality on net,Default,55,125
1028785,shot,2,4:08,10986,Max,Grondin,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,46,102
1028785,shot,2,6:32,8864,Zac,Jones,323,9096,Ryan,Fanti,False,Non quality on net,Default,410,111
1028785,shot,2,8:00,10444,Konsta,Helenius,323,9096,Ryan,Fanti,False,Non quality on net,Default,500,230
1028785,shot,2,9:02,9700,Trevor,Kuntar,323,9096,Ryan,Fanti,False,Non quality on net,Default,481,63
1028785,shot,2,12:40,8864,Zac,Jones,323,9096,Ryan,Fanti,False,Non quality on net,Default,435,60
1028785,shot,2,12:45,10436,Vsevolod,Komarov,323,9096,Ryan,Fanti,False,Non quality on net,Default,414,258
1028785,shot,2,12:59,9923,Riley,Fiddler-Schultz,323,9096,Ryan,Fanti,False,Quality on net,Default,497,96
1028785,shot,2,18:16,9823,Ethan,Samson,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,194,129
1028785,shot,2,19:52,9923,Riley,Fiddler-Schultz,323,9096,Ryan,Fanti,False,Quality on net,Default,525,177
1028785,shot,3,0:18,5896,Matthew,Peca,324,10066,Scott,Ratzlaff,False,Non quality on net,Default,45,189
1028785,shot,3,0:43,8553,Mitchell,Chaffee,324,10066,Scott,Ratzlaff,False,Quality on net,Default,81,94
1028785,shot,3,5:17,6633,Gavin,Bayreuther,323,9096,Ryan,Fanti,False,Non quality on net,Default,463,48
1028785,shot,3,5:21,9245,Kaleb,Lawrence,323,9096,Ryan,Fanti,False,Quality on net,Default,524,158
1028785,shot,3,6:07,5896,Matthew,Peca,324,10066,Scott,Ratzlaff,False,Quality on net,Default,99,105
1028785,shot,3,6:48,8553,Mitchell,Chaffee,324,10066,Scott,Ratzlaff,True,Quality goal,Default,112,224
1028785,goal,3,6:48,8553,Mitchell,Chaffee,,,,,,,,112,224
1028785,shot,3,6:50,10436,Vsevolod,Komarov,323,9096,Ryan,Fanti,False,Quality on net,Default,475,153
1028785,shot,3,8:11,9202,Conor,Geekie,324,10066,Scott,Ratzlaff,False,Quality on net,Default,118,178
1028785,shot,3,9:32,9245,Kaleb,Lawrence,323,9096,Ryan,Fanti,False,Quality on net,Default,463,75
1028785,shot,3,10:50,10436,Vsevolod,Komarov,323,9096,Ryan,Fanti,False,Quality on net,Default,466,210
1028785,shot,3,12:10,9761,Olivier,Nadeau,323,9096,Ryan,Fanti,False,Quality on net,Default,504,108
1028785,shot,3,12:40,10526,Cooper,Flinton,324,10066,Scott,Ratzlaff,True,Quality goal,Default,58,170
1028785,goal,3,12:40,10526,Cooper,Flinton,,,,,,,,58,170
1028785,shot,3,13:02,9245,Kaleb,Lawrence,323,9096,Ryan,Fanti,False,Non quality on net,Default,443,151
1028785,shot,3,13:27,9923,Riley,Fiddler-Schultz,323,9096,Ryan,Fanti,False,Non quality on net,Default,546,195
1028785,shot,3,14:16,9743,Zach,Metsa,323,9096,Ryan,Fanti,False,Non quality on net,Default,444,102
1028785,shot,3,15:49,9202,Conor,Geekie,324,10066,Scott,Ratzlaff,False,Quality on net,Default,60,181
1028785,shot,3,18:26,9923,Riley,Fiddler-Schultz,323,9096,Ryan,Fanti,False,Non quality on net,Default,550,37
1028785,shot,3,18:36,9761,Olivier,Nadeau,323,9096,Ryan,Fanti,False,Quality on net,Default,551,135
1028785,shot,3,19:59,8884,Matteo,Pietroniro,324,10066,Scott,Ratzlaff,True,Non quality goal,Default,414,55
1028785,goal,3,19:59,8884,Matteo,Pietroniro,,,,,,,,414,55
