game_id,event,period,time,shooter_id,shooter_first,shooter_last,shooter_team_id,goalie_id,goalie_first,goalie_last,is_goal,shot_quality,shot_type,x,y
1027943,shot,1,0:54,10914,Anton,Lundmark,384,6535,Brandon,Halverson,False,Quality on net,Default,133,107
1027943,shot,1,1:05,7687,Tobias,Bjornfot,384,6535,Brandon,Halverson,False,Non quality on net,Default,195,256
1027943,shot,1,1:19,10615,Jack,Devine,384,6535,Brandon,Halverson,False,Non quality on net,Default,250,109
1027943,shot,1,1:35,10507,Colton,Huard,384,6535,Brandon,Halverson,True,Non quality goal,Default,195,95
1027943,goal,1,1:35,10507,Colton,Huard,,,,,,,,195,95
1027943,shot,1,2:56,10566,Lucas,Mercuri,324,7784,Kevin,Mandolese,True,Non quality goal,Default,451,171
1027943,goal,1,2:56,10566,Lucas,Mercuri,,,,,,,,451,171
1027943,shot,1,3:16,8553,Mitchell,Chaffee,324,7784,Kevin,Mandolese,False,Non quality on net,Default,423,90
1027943,shot,1,4:55,7337,Brian,Pinho,384,6535,Brandon,Halverson,False,Non quality on net,Default,153,21
1027943,shot,1,6:03,8744,Jakob,Pelletier,324,7784,Kevin,Mandolese,False,Quality on net,Default,474,81
1027943,shot,1,6:23,9034,Declan,Carlile,324,7784,Kevin,Mandolese,False,Non quality on net,Default,408,39
1027943,shot,1,6:45,10914,Anton,Lundmark,384,6535,Brandon,Halverson,False,Quality on net,Default,135,134
1027943,shot,1,8:48,10526,Cooper,Flinton,324,7784,Kevin,Mandolese,False,Non quality on net,Default,453,226
1027943,shot,1,9:54,5614,Trevor,Carrick,384,6535,Brandon,Halverson,False,Non quality on net,Default,284,205
1027943,shot,1,10:41,8553,Mitchell,Chaffee,324,7784,Kevin,Mandolese,False,Non quality on net,Default,400,129
1027943,shot,1,12:11,8744,Jakob,Pelletier,324,7784,Kevin,Mandolese,False,Non quality on net,Default,413,141
1027943,shot,1,13:51,5614,Trevor,Carrick,384,6535,Brandon,Halverson,False,Non quality on net,Default,150,213
1027943,shot,1,15:51,10056,Ben,Steeves,384,6535,Brandon,Halverson,False,Non quality on net,Default,58,97
1027943,shot,2,0:21,9749,Roman,Schmidt,324,7784,Kevin,Mandolese,False,Non quality on net,Default,399,258
