a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
1,0,,1028753,0,0:00,5,0,3,D,1,Ian Mitchell,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,7,0,-1,D,0,Simon Lundmark,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,8,2,0,D,0,Tommy Miller,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,11,12,0,C,0,Lucas Mercuri,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,14,14,0,RW,0,Tristan Allard,,324,Syracuse Crunch,home
1,0,,1028753,0,0:00,18,12,1,LW,0,Reece Newkirk,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,20,12,0,LW,0,Cooper Flinton,,324,Syracuse Crunch,home
2,0,,1028753,0,0:00,21,0,2,RW,0,Mitchell Chaffee,,324,Syracuse Crunch,home
0,2,,1028753,0,0:00,22,4,2,LW,2,Jakob Pelletier,,324,Syracuse Crunch,home
1,1,,1028753,0,0:00,25,0,1,LW,1,Dylan Duke,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,28,0,1,D,0,Jarred Tinordi,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,42,0,2,D,4,Ethan Samson,,324,Syracuse Crunch,home
0,1,,1028753,0,0:00,63,0,1,C,2,Matthew Peca,,324,Syracuse Crunch,home
1,0,,1028753,0,0:00,75,0,3,D,1,Matteo Pietroniro,,324,Syracuse Crunch,home
1,1,,1028753,0,0:00,79,0,1,RW,1,Ethan Gauthier,,324,Syracuse Crunch,home
2,0,,1028753,0,0:00,80,0,1,RW,3,Nick Abruzzese,,324,Syracuse Crunch,home
0,0,,1028753,0,0:00,94,2,1,C,3,Conor Geekie,,324,Syracuse Crunch,home
1,1,,1028753,0,0:00,95,0,1,C,1,Gabriel Szturc,,324,Syracuse Crunch,home
0,0,3,1028753,1,60:00,31,0,0,G,,Brandon Halverson,26,324,Syracuse Crunch,home
0,0,0,1028753,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,home
1,0,,1028753,0,0:00,4,0,-1,D,1,Corson Ceulemans,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,5,0,-2,D,1,Stanislav Svozil,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,6,0,-1,D,1,Dysin Mayo,,373,Cleveland Monsters,away
1,0,,1028753,0,0:00,10,0,-2,C,1,Luca Del Bel Belluz,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,11,0,-1,LW,1,James Malatesta,,373,Cleveland Monsters,away
0,1,,1028753,0,0:00,12,0,-2,C,2,Owen Sillinger,,373,Cleveland Monsters,away
1,1,,1028753,0,0:00,16,0,-3,C,5,Brendan Gaunce,,373,Cleveland Monsters,away
1,0,,1028753,0,0:00,21,0,0,LW,2,Zach Aston-Reese,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,25,16,-2,RW,0,Riley Bezeau,,373,Cleveland Monsters,away
1,0,,1028753,0,0:00,26,0,0,D,1,Guillaume Richard,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,29,0,-2,C,3,Jack Williams,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,37,12,0,LW,2,Roman Ahcan,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,41,0,-1,C,1,Hunter McKown,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,43,14,-1,D,1,Caleb MacDonald,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,53,2,-1,LW,2,Luca Pinelli,,373,Cleveland Monsters,away
1,0,,1028753,0,0:00,54,0,-1,D,2,Luca Marrelli,,373,Cleveland Monsters,away
0,0,,1028753,0,0:00,82,0,0,LW,1,Mikael Pyyhtiä,,373,Cleveland Monsters,away
0,1,,1028753,0,0:00,93,14,-1,C,2,Max McCue,,373,Cleveland Monsters,away
0,0,0,1028753,1,,28,0,0,G,,Ivan Fedotov,0,373,Cleveland Monsters,away
0,0,5,1028753,1,59:50,36,0,0,G,,Zach Sawchenko,13,373,Cleveland Monsters,away
