a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028551,0,0:00,7,0,2,D,5,Simon Lundmark,,324,Syracuse Crunch,home
0,2,,1028551,0,0:00,11,0,2,C,7,Lucas Mercuri,,324,Syracuse Crunch,home
1,0,,1028551,0,0:00,13,0,1,LW,1,Brendan Furry,,324,Syracuse Crunch,home
2,0,,1028551,0,0:00,14,0,2,RW,2,Tristan Allard,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,16,0,1,D,2,Steven Santini,,324,Syracuse Crunch,home
1,0,,1028551,0,0:00,20,0,1,RW,2,Cooper Flinton,,324,Syracuse Crunch,home
1,0,,1028551,0,0:00,21,0,0,RW,1,Mitchell Chaffee,,324,Syracuse Crunch,home
2,0,,1028551,0,0:00,22,2,1,LW,1,Jakob Pelletier,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,23,0,0,D,0,Maxim Groshev,,324,Syracuse Crunch,home
1,0,,1028551,0,0:00,25,0,1,LW,5,Dylan Duke,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,28,0,1,D,3,Jarred Tinordi,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,38,0,0,D,1,Wyatt Newpower,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,50,0,0,LW,1,Michael Milne,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,75,2,2,D,1,Matteo Pietroniro,,324,Syracuse Crunch,home
0,1,,1028551,0,0:00,79,0,0,RW,1,Ethan Gauthier,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,81,0,0,C,0,Milo Roelens,,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,94,0,0,C,4,Conor Geekie,,324,Syracuse Crunch,home
0,1,,1028551,0,0:00,95,0,1,C,2,Gabriel Szturc,,324,Syracuse Crunch,home
0,0,0,1028551,1,59:50,31,0,0,G,,Brandon Halverson,25,324,Syracuse Crunch,home
0,0,0,1028551,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,home
0,0,,1028551,0,0:00,2,2,0,D,0,Michael Benning,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,4,0,0,F,4,Jack Devine,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,6,0,-1,F,2,Ben Steeves,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,7,0,-2,LW,0,Robert Mastrosimone,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,10,0,-2,F,0,Liam McLinskey,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,11,0,-1,D,1,Eamon Powell,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,12,2,-1,D,0,Colton Huard,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,14,2,-2,D,1,Mikulas Hovorka,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,15,0,0,C,2,Nate Smith,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,17,0,-1,C,2,Noah Gregor,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,18,0,-1,RW,2,MacKenzie Entwistle,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,21,0,-2,D,1,Jake Livingstone,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,23,0,-2,F,2,Jack Studnicka,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,25,0,0,F,2,Wilmer Skoog,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,26,2,0,F,1,Brian Pinho,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,27,0,0,D,2,Marek Alscher,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,28,0,0,LW,2,Nolan Foote,,384,Charlotte Checkers,away
0,0,,1028551,0,0:00,36,0,0,F,1,Brett Chorske,,384,Charlotte Checkers,away
0,0,0,1028551,1,,20,0,0,G,,Kirill Gerasimyuk,0,384,Charlotte Checkers,away
0,0,4,1028551,1,60:00,31,0,0,G,,Cooper Black,35,384,Charlotte Checkers,away
