a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028672,0,0:00,7,0,-3,D,0,Simon Lundmark,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,8,0,0,D,0,Tommy Miller,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,11,2,-2,C,0,Lucas Mercuri,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,13,0,1,C,2,Brendan Furry,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,14,0,-3,RW,1,Tristan Allard,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,18,5,-1,RW,0,Reece Newkirk,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,20,0,-2,C,0,Cooper Flinton,,324,Syracuse Crunch,home
0,1,,1028672,0,0:00,21,0,1,RW,5,Mitchell Chaffee,,324,Syracuse Crunch,home
1,0,,1028672,0,0:00,22,0,1,LW,3,Jakob Pelletier,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,23,2,0,D,2,Maxim Groshev,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,25,0,-2,LW,2,Dylan Duke,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,28,2,0,D,2,Jarred Tinordi,,324,Syracuse Crunch,home
1,0,,1028672,0,0:00,42,0,-1,D,3,Ethan Samson,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,50,0,0,LW,1,Michael Milne,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,75,0,-4,D,2,Matteo Pietroniro,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,79,0,-3,RW,4,Ethan Gauthier,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,80,0,-2,LW,3,Nick Abruzzese,,324,Syracuse Crunch,home
0,0,,1028672,0,0:00,81,0,-1,C,1,Milo Roelens,,324,Syracuse Crunch,home
0,0,4,1028672,1,56:56,31,0,0,G,,Brandon Halverson,21,324,Syracuse Crunch,home
0,0,0,1028672,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,home
1,0,,1028672,0,0:00,3,0,0,D,1,Henry Thrun,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,11,0,-1,F,1,Logan Shaw,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,33,0,-1,D,1,Matt Benning,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,36,0,4,D,1,Dakota Mermis,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,39,0,0,F,1,Borya Valis,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,42,7,0,F,1,Landon Sim,,335,Toronto Marlies,away
1,1,,1028672,0,0:00,43,2,5,C,2,Luke Haymes,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,56,0,0,F,1,Cédric Paré,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,57,2,0,RW,1,Marc Johnstone,,335,Toronto Marlies,away
0,1,,1028672,0,0:00,58,0,1,D,2,Noah Chadwick,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,59,0,1,D,0,Blake Smith,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,66,0,0,C,2,Ben King,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,68,0,-1,F,0,Matthew Barbolini,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,71,0,0,C,4,Vinni Lettieri,,335,Toronto Marlies,away
1,0,,1028672,0,0:00,76,0,3,D,1,William Villeneuve,,335,Toronto Marlies,away
2,1,,1028672,0,0:00,77,0,4,F,2,Ryan Tverberg,,335,Toronto Marlies,away
2,2,,1028672,0,0:00,92,0,5,RW,4,Alex Nylander,,335,Toronto Marlies,away
0,0,,1028672,0,0:00,97,0,0,D,1,Chas Sharpe,,335,Toronto Marlies,away
0,0,1,1028672,1,60:00,35,0,0,G,,Dennis Hildeby,30,335,Toronto Marlies,away
0,0,0,1028672,1,,70,0,0,G,,Artur Akhtyamov,0,335,Toronto Marlies,away
