a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028302,0,0:00,2,0,2,D,0,Calen Addison,,390,Utica Comets,home
0,1,,1028302,0,0:00,9,0,1,LW,4,Angus Crookshank,,390,Utica Comets,home
0,0,,1028302,0,0:00,11,5,0,RW,0,Nathan Légaré,,390,Utica Comets,home
0,0,,1028302,0,0:00,12,0,0,F,0,Cam Squires,,390,Utica Comets,home
0,0,,1028302,0,0:00,14,5,0,C,1,Jonathan Gruden,,390,Utica Comets,home
0,0,,1028302,0,0:00,15,0,0,C,1,Kyle Criscuolo,,390,Utica Comets,home
0,0,,1028302,0,0:00,18,0,0,F,0,Shane Lachance,,390,Utica Comets,home
0,0,,1028302,0,0:00,19,0,0,F,0,Josh Filmon,,390,Utica Comets,home
1,0,,1028302,0,0:00,22,0,0,D,2,Seamus Casey,,390,Utica Comets,home
1,1,,1028302,0,0:00,24,0,2,F,2,Brian Halonen,,390,Utica Comets,home
1,0,,1028302,0,0:00,26,0,2,C,0,Ryan Schmelzer,,390,Utica Comets,home
1,0,,1028302,0,0:00,29,0,0,F,1,Lenni Hämeenaho,,390,Utica Comets,home
1,0,,1028302,0,0:00,38,0,2,D,1,Topias Vilen,,390,Utica Comets,home
0,0,,1028302,0,0:00,55,0,0,D,1,Jackson van de Leest,,390,Utica Comets,home
0,0,,1028302,0,0:00,58,0,0,D,0,Mikaël Diotte,,390,Utica Comets,home
0,1,,1028302,0,0:00,67,17,1,F,1,Xavier Parent,,390,Utica Comets,home
0,0,,1028302,0,0:00,73,0,0,D,1,Ethan Edwards,,390,Utica Comets,home
0,0,,1028302,0,0:00,74,2,0,F,0,Thomas Bordeleau,,390,Utica Comets,home
0,0,0,1028302,1,60:00,31,0,0,G,,Jakub Málek,15,390,Utica Comets,home
0,0,0,1028302,1,,50,0,0,G,,Nico Daws,0,390,Utica Comets,home
0,0,,1028302,0,0:00,8,2,-1,D,0,Tommy Miller,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,11,0,-1,C,0,Lucas Mercuri,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,13,0,-1,LW,0,Brendan Furry,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,14,0,0,C,2,Tristan Allard,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,20,5,-1,RW,0,Cooper Flinton,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,21,0,-1,RW,2,Mitchell Chaffee,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,22,0,0,LW,2,Jakob Pelletier,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,23,0,0,D,0,Maxim Groshev,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,25,0,-1,LW,1,Dylan Duke,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,28,17,-1,D,1,Jarred Tinordi,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,38,0,0,D,0,Wyatt Newpower,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,42,0,0,D,0,Ethan Samson,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,50,0,-1,LW,0,Michael Milne,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,75,2,0,D,3,Matteo Pietroniro,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,79,0,-1,RW,1,Ethan Gauthier,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,80,0,-1,RW,2,Nick Abruzzese,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,94,5,-1,C,1,Conor Geekie,,324,Syracuse Crunch,away
0,0,,1028302,0,0:00,95,2,0,C,0,Gabriel Szturc,,324,Syracuse Crunch,away
0,0,0,1028302,1,,31,0,0,G,,Brandon Halverson,0,324,Syracuse Crunch,away
0,0,2,1028302,1,59:04,59,0,0,G,,Ryan Fanti,12,324,Syracuse Crunch,away
