a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028622,0,0:00,2,0,0,D,2,Marc Del Gaizo,,415,Laval Rocket,home
0,0,,1028622,0,0:00,4,0,0,D,0,Tobie Bisson,,415,Laval Rocket,home
0,0,,1028622,0,0:00,5,0,0,D,1,Nate Clurman,,415,Laval Rocket,home
0,0,,1028622,0,0:00,6,0,0,RW,0,Tyler Thorpe,,415,Laval Rocket,home
0,0,,1028622,0,0:00,10,0,-1,LW,1,Joshua Roy,,415,Laval Rocket,home
0,0,,1028622,0,0:00,15,0,-1,F,0,Sean Farrell,,415,Laval Rocket,home
0,0,,1028622,0,0:00,17,2,0,LW,0,Luke Tuch,,415,Laval Rocket,home
0,0,,1028622,0,0:00,19,0,-1,LW,0,Samuel Blais,,415,Laval Rocket,home
0,0,,1028622,0,0:00,22,0,-2,F,2,Alex Belzile,,415,Laval Rocket,home
0,0,,1028622,0,0:00,26,2,0,F,1,Will Dineen,,415,Laval Rocket,home
0,0,,1028622,0,0:00,27,2,-2,F,2,Laurent Dauphin,,415,Laval Rocket,home
0,0,,1028622,0,0:00,28,0,0,D,1,Josh Jacobs,,415,Laval Rocket,home
0,0,,1028622,0,0:00,42,0,0,LW,0,Lucas Condotta,,415,Laval Rocket,home
0,0,,1028622,0,0:00,48,0,0,RW,0,Filip Mešár,,415,Laval Rocket,home
0,0,,1028622,0,0:00,49,0,0,F,0,Jared Davidson,,415,Laval Rocket,home
0,0,,1028622,0,0:00,62,0,-1,F,1,Owen Beck,,415,Laval Rocket,home
0,0,,1028622,0,0:00,64,0,-2,D,4,David Reinbacher,,415,Laval Rocket,home
0,0,,1028622,0,0:00,84,2,-1,D,1,William Trudeau,,415,Laval Rocket,home
0,0,0,1028622,1,,29,0,0,G,,Hunter Jones,0,415,Laval Rocket,home
0,0,1,1028622,1,58:02,34,0,0,G,,Kaapo Kähkönen,20,415,Laval Rocket,home
0,0,,1028622,0,0:00,7,0,0,D,0,Simon Lundmark,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,8,4,1,D,0,Tommy Miller,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,11,0,1,C,3,Lucas Mercuri,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,13,0,1,C,4,Brendan Furry,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,14,0,1,RW,1,Tristan Allard,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,16,0,1,D,0,Steven Santini,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,18,2,0,C,1,Reece Newkirk,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,20,0,0,LW,2,Cooper Flinton,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,21,0,1,RW,3,Mitchell Chaffee,,324,Syracuse Crunch,away
0,1,,1028622,0,0:00,22,0,1,LW,3,Jakob Pelletier,,324,Syracuse Crunch,away
1,0,,1028622,0,0:00,25,0,1,LW,2,Dylan Duke,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,28,0,1,D,0,Jarred Tinordi,,324,Syracuse Crunch,away
0,1,,1028622,0,0:00,38,0,1,D,2,Wyatt Newpower,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,41,0,0,RW,0,Spencer Kersten,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,50,0,0,LW,0,Michael Milne,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,75,0,0,D,1,Matteo Pietroniro,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,79,0,0,RW,0,Ethan Gauthier,,324,Syracuse Crunch,away
0,0,,1028622,0,0:00,81,2,0,C,0,Milo Roelens,,324,Syracuse Crunch,away
0,0,0,1028622,1,59:49,31,0,0,G,,Brandon Halverson,16,324,Syracuse Crunch,away
0,0,0,1028622,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,away
