a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028315,0,0:00,8,0,1,D,0,Tommy Miller,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,11,0,0,C,3,Lucas Mercuri,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,13,0,0,LW,1,Brendan Furry,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,14,0,-2,C,1,Tristan Allard,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,20,0,0,LW,2,Cooper Flinton,,324,Syracuse Crunch,home
2,1,,1028315,0,0:00,21,0,1,RW,4,Mitchell Chaffee,,324,Syracuse Crunch,home
1,0,,1028315,0,0:00,22,2,-1,LW,5,Jakob Pelletier,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,23,2,-1,D,1,Maxim Groshev,,324,Syracuse Crunch,home
1,1,,1028315,0,0:00,25,0,-1,LW,2,Dylan Duke,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,38,2,-1,D,0,Wyatt Newpower,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,41,2,0,RW,0,Spencer Kersten,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,42,0,-2,D,2,Ethan Samson,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,46,0,0,D,1,Vincent Sévigny,,324,Syracuse Crunch,home
0,1,,1028315,0,0:00,79,0,0,RW,2,Ethan Gauthier,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,80,0,-1,RW,2,Nick Abruzzese,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,81,2,0,C,0,Milo Roelens,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,95,0,1,C,2,Gabriel Szturc,,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,96,2,1,D,0,Chris Harpur,,324,Syracuse Crunch,home
0,0,2,1028315,1,59:31,31,0,0,G,,Brandon Halverson,15,324,Syracuse Crunch,home
0,0,0,1028315,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,home
0,0,,1028315,0,0:00,2,0,1,D,1,Marc Del Gaizo,,415,Laval Rocket,away
0,0,,1028315,0,0:00,4,0,0,D,0,Tobie Bisson,,415,Laval Rocket,away
0,0,,1028315,0,0:00,6,0,0,RW,0,Tyler Thorpe,,415,Laval Rocket,away
0,0,,1028315,0,0:00,15,2,0,F,3,Sean Farrell,,415,Laval Rocket,away
0,0,,1028315,0,0:00,17,0,0,LW,0,Luke Tuch,,415,Laval Rocket,away
1,0,,1028315,0,0:00,22,0,0,F,1,Alex Belzile,,415,Laval Rocket,away
0,0,,1028315,0,0:00,26,0,0,F,0,Will Dineen,,415,Laval Rocket,away
1,0,,1028315,0,0:00,27,0,0,F,0,Laurent Dauphin,,415,Laval Rocket,away
0,0,,1028315,0,0:00,28,0,0,D,0,Josh Jacobs,,415,Laval Rocket,away
0,0,,1028315,0,0:00,42,0,0,LW,2,Lucas Condotta,,415,Laval Rocket,away
0,0,,1028315,0,0:00,48,0,0,RW,3,Filip Mešár,,415,Laval Rocket,away
0,1,,1028315,0,0:00,49,0,0,F,2,Jared Davidson,,415,Laval Rocket,away
0,1,,1028315,0,0:00,56,4,0,D,2,Adam Engström,,415,Laval Rocket,away
1,0,,1028315,0,0:00,63,0,1,C,1,Florian Xhekaj,,415,Laval Rocket,away
0,0,,1028315,0,0:00,64,0,1,D,0,David Reinbacher,,415,Laval Rocket,away
0,0,,1028315,0,0:00,77,0,0,RW,0,Joe Dunlap,,415,Laval Rocket,away
0,0,,1028315,0,0:00,81,2,0,C,1,Xavier Simoneau,,415,Laval Rocket,away
0,0,,1028315,0,0:00,84,0,1,D,1,William Trudeau,,415,Laval Rocket,away
0,0,0,1028315,1,,29,0,0,G,,Hunter Jones,0,415,Laval Rocket,away
0,0,3,1028315,1,57:09,34,0,0,G,,Kaapo Kähkönen,25,415,Laval Rocket,away
