a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028834,0,0:00,9,2,1,D,0,Michael Buchinger,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,11,0,-1,F,2,Hugh McGing,,411,Springfield Thunderbirds,home
0,1,,1028834,0,0:00,12,2,-1,F,2,Thomas Bordeleau,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,13,5,-1,LW,0,Kale Kessy,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,14,0,-1,F,0,Zach Dean,,411,Springfield Thunderbirds,home
1,0,,1028834,0,0:00,16,2,1,F,1,Akil Thomas,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,22,0,-1,F,3,Dylan Peterson,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,26,0,0,F,0,Simon Robertsson,,411,Springfield Thunderbirds,home
0,1,,1028834,0,0:00,29,0,0,LW,4,Dillon Dube,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,37,0,0,D,0,Wyatt Newpower,,411,Springfield Thunderbirds,home
2,1,,1028834,0,0:00,41,0,0,F,5,Aleksanteri Kaskimäki,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,42,0,-1,D,1,Quinton Burns,,411,Springfield Thunderbirds,home
1,0,,1028834,0,0:00,43,2,-1,D,3,Calle Rosén,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,45,0,-1,D,3,Marc-André Gaudet,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,49,0,-1,F,3,Jakub Stancl,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,55,0,-1,D,3,Hunter Skinner,,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,77,0,-1,F,2,Felix Trudeau,,411,Springfield Thunderbirds,home
1,0,,1028834,0,0:00,88,2,-1,C,4,Chris Wagner,,411,Springfield Thunderbirds,home
0,0,0,1028834,1,,30,0,0,G,,Georgi Romanov,0,411,Springfield Thunderbirds,home
0,0,3,1028834,1,64:19,40,0,0,G,,Will Cranley,18,411,Springfield Thunderbirds,home
0,0,,1028834,0,0:00,5,0,2,D,2,Ian Mitchell,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,7,0,0,D,0,Simon Lundmark,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,11,4,1,C,0,Lucas Mercuri,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,14,2,0,RW,2,Tristan Allard,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,18,0,-1,C,0,Reece Newkirk,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,20,0,-1,RW,1,Cooper Flinton,,324,Syracuse Crunch,away
0,1,,1028834,0,0:00,22,0,2,LW,5,Jakob Pelletier,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,23,0,0,D,1,Maxim Groshev,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,25,4,0,LW,0,Dylan Duke,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,28,5,0,D,0,Jarred Tinordi,,324,Syracuse Crunch,away
1,1,,1028834,0,0:00,42,0,1,D,1,Ethan Samson,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,63,0,1,C,1,Matthew Peca,,324,Syracuse Crunch,away
1,0,,1028834,0,0:00,75,2,1,D,1,Matteo Pietroniro,,324,Syracuse Crunch,away
1,0,,1028834,0,0:00,79,0,1,RW,1,Ethan Gauthier,,324,Syracuse Crunch,away
0,1,,1028834,0,0:00,80,0,1,RW,3,Nick Abruzzese,,324,Syracuse Crunch,away
1,0,,1028834,0,0:00,84,0,0,LW,0,Max Grondin,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,94,2,0,C,3,Conor Geekie,,324,Syracuse Crunch,away
0,0,,1028834,0,0:00,95,2,1,LW,0,Gabriel Szturc,,324,Syracuse Crunch,away
0,0,3,1028834,1,65:00,31,0,0,G,,Brandon Halverson,33,324,Syracuse Crunch,away
0,0,0,1028834,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,away
