game_id,event,period,time,shooter_id,shooter_first,shooter_last,shooter_team_id,goalie_id,goalie_first,goalie_last,is_goal,shot_quality,shot_type,x,y
1028772,shot,1,0:05,7545,Corey,Schueneman,319,6535,Brandon,Halverson,False,Non quality on net,Default,328,108
1028772,shot,1,0:43,8553,Mitchell,Chaffee,324,9709,Mitch,Gibson,False,Quality on net,Default,66,138
1028772,shot,1,1:19,8553,Mitchell,Chaffee,324,9709,Mitch,Gibson,False,Quality on net,Default,105,123
1028772,shot,1,3:13,9563,Nick,Abruzzese,324,9709,Mitch,Gibson,False,Non quality on net,Default,63,107
1028772,shot,1,5:01,9698,Grant,Cruikshank,319,6535,Brandon,Halverson,False,Quality on net,Default,538,153
1028772,shot,1,6:04,8667,Ian,Mitchell,324,9709,Mitch,Gibson,False,Non quality on net,Default,192,95
1028772,shot,1,6:53,4666,Jarred,Tinordi,324,9709,Mitch,Gibson,False,Quality on net,Default,61,163
1028772,shot,1,8:51,7821,Reece,Newkirk,324,9709,Mitch,Gibson,False,Non quality on net,Default,214,137
1028772,shot,1,11:50,9698,Grant,Cruikshank,319,6535,Brandon,Halverson,False,Quality on net,Default,479,74
1028772,shot,1,14:33,10573,David,Gucciardi,319,6535,Brandon,Halverson,False,Non quality on net,Default,427,61
1028772,shot,1,15:36,8744,Jakob,Pelletier,324,9709,Mitch,Gibson,False,Non quality on net,Default,40,184
1028772,shot,1,15:40,8553,Mitchell,Chaffee,324,9709,Mitch,Gibson,False,Quality on net,Default,141,111
1028772,shot,1,16:25,8884,Matteo,Pietroniro,324,9709,Mitch,Gibson,False,Non quality on net,Default,196,241
1028772,shot,1,16:57,10572,Ryan,Chesley,319,6535,Brandon,Halverson,False,Non quality on net,Default,392,157
1028772,shot,1,17:02,9698,Grant,Cruikshank,319,6535,Brandon,Halverson,False,Non quality on net,Default,399,90
1028772,shot,1,18:35,5896,Matthew,Peca,324,9709,Mitch,Gibson,False,Quality on net,Default,116,152
1028772,shot,1,19:57,8884,Matteo,Pietroniro,324,9709,Mitch,Gibson,False,Non quality on net,Default,333,35
1028772,shot,2,0:06,10572,Ryan,Chesley,319,6535,Brandon,Halverson,False,Non quality on net,Default,224,255
1028772,shot,2,0:12,10644,Ilya,Protas,319,6535,Brandon,Halverson,False,Quality on net,Default,555,166
1028772,shot,2,1:10,8884,Matteo,Pietroniro,324,9709,Mitch,Gibson,False,Non quality on net,Default,202,147
1028772,shot,2,2:28,7921,Brett,Leason,319,6535,Brandon,Halverson,False,Quality on net,Default,470,203
1028772,shot,2,3:40,7545,Corey,Schueneman,319,6535,Brandon,Halverson,False,Non quality on net,Default,407,100
1028772,shot,2,4:37,8884,Matteo,Pietroniro,324,9709,Mitch,Gibson,False,Quality on net,Default,95,219
1028772,shot,2,4:54,9202,Conor,Geekie,324,9709,Mitch,Gibson,False,Quality on net,Default,126,209
1028772,shot,2,5:35,5856,Sonny,Milano,319,6535,Brandon,Halverson,False,Non quality on net,Default,534,214
1028772,shot,2,7:16,9142,Wyatt,Bongiovanni,319,6535,Brandon,Halverson,True,Quality goal,Default,522,149
1028772,goal,2,7:16,9142,Wyatt,Bongiovanni,,,,,,,,522,149
1028772,shot,2,7:35,9881,Sam,Bitten,319,6535,Brandon,Halverson,False,Non quality on net,Default,482,69
1028772,shot,2,9:16,8884,Matteo,Pietroniro,324,9709,Mitch,Gibson,False,Non quality on net,Default,186,262
1028772,shot,2,9:25,7921,Brett,Leason,319,6535,Brandon,Halverson,False,Non quality on net,Default,367,261
1028772,shot,2,9:33,10174,Andrew,Cristall,319,6535,Brandon,Halverson,True,Quality goal,Default,549,130
1028772,goal,2,9:33,10174,Andrew,Cristall,,,,,,,,549,130
1028772,shot,2,10:45,7921,Brett,Leason,319,6535,Brandon,Halverson,True,Quality goal,Default,486,165
1028772,goal,2,10:45,7921,Brett,Leason,,,,,,,,486,165
1028772,shot,2,11:59,7584,Matt,Strome,319,6535,Brandon,Halverson,False,Non quality on net,Default,542,247
1028772,shot,2,12:29,9734,Alex,Suzdalev,319,6535,Brandon,Halverson,False,Quality on net,Default,490,118
1028772,shot,2,14:14,10592,Leon,Muggli,319,6535,Brandon,Halverson,False,Non quality on net,Default,399,44
1028772,shot,2,14:46,8553,Mitchell,Chaffee,324,9709,Mitch,Gibson,False,Quality on net,Default,59,150
1028772,shot,2,14:49,10148,Dylan,Duke,324,9709,Mitch,Gibson,False,Non quality on net,Default,46,124
