a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028997,0,0:00,5,0,1,D,1,Ian Mitchell,,324,Syracuse Crunch,home
1,0,,1028997,0,0:00,8,0,-1,D,1,Tommy Miller,,324,Syracuse Crunch,home
2,0,,1028997,0,0:00,11,0,0,C,2,Lucas Mercuri,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,14,2,0,RW,0,Tristan Allard,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,16,2,0,D,7,Steven Santini,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,18,0,1,C,0,Reece Newkirk,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,20,0,-1,LW,3,Cooper Flinton,,324,Syracuse Crunch,home
2,0,,1028997,0,0:00,22,0,-1,LW,4,Jakob Pelletier,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,23,0,-1,D,1,Maxim Groshev,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,25,0,0,LW,0,Dylan Duke,,324,Syracuse Crunch,home
1,0,,1028997,0,0:00,28,0,-1,D,0,Jarred Tinordi,,324,Syracuse Crunch,home
0,1,,1028997,0,0:00,41,0,1,RW,1,Spencer Kersten,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,44,0,1,LW,0,Noah Steen,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,63,0,-1,C,3,Matthew Peca,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,75,0,0,D,1,Matteo Pietroniro,,324,Syracuse Crunch,home
0,1,,1028997,0,0:00,79,0,0,RW,4,Ethan Gauthier,,324,Syracuse Crunch,home
0,1,,1028997,0,0:00,80,0,-2,RW,3,Nick Abruzzese,,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,95,0,-1,C,3,Gabriel Szturc,,324,Syracuse Crunch,home
0,0,4,1028997,1,70:00,31,0,0,G,,Brandon Halverson,28,324,Syracuse Crunch,home
0,0,0,1028997,1,,32,0,0,G,,Jon Gillies,0,324,Syracuse Crunch,home
0,0,,1028997,0,0:00,4,0,-1,D,1,Corson Ceulemans,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,5,0,-1,D,1,Stanislav Svozil,,373,Cleveland Monsters,away
2,0,,1028997,0,0:00,6,2,2,D,2,Dysin Mayo,,373,Cleveland Monsters,away
2,0,,1028997,0,0:00,10,0,2,F,3,Luca Del Bel Belluz,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,12,0,2,C,2,Owen Sillinger,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,16,0,-1,C,5,Brendan Gaunce,,373,Cleveland Monsters,away
0,1,,1028997,0,0:00,20,0,-1,RW,2,Hudson Fasching,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,21,0,-1,LW,1,Zach Aston-Reese,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,24,0,0,LW,0,Justin Pearson,,373,Cleveland Monsters,away
0,1,,1028997,0,0:00,25,2,1,RW,1,Riley Bezeau,,373,Cleveland Monsters,away
0,2,,1028997,0,0:00,26,4,2,D,5,Guillaume Richard,,373,Cleveland Monsters,away
1,0,,1028997,0,0:00,29,0,-1,C,1,Jack Williams,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,37,0,0,LW,1,Roman Ahcan,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,39,2,0,D,0,Will Butcher,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,41,0,1,C,1,Hunter McKown,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,53,0,-1,LW,2,Luca Pinelli,,373,Cleveland Monsters,away
0,0,,1028997,0,0:00,54,0,0,D,2,Luca Marrelli,,373,Cleveland Monsters,away
1,0,,1028997,0,0:00,82,0,2,LW,2,Mikael Pyyhtiä,,373,Cleveland Monsters,away
0,0,0,1028997,1,,35,0,0,G,,Evan Gardner,0,373,Cleveland Monsters,away
0,0,3,1028997,1,70:05,36,0,0,G,,Zach Sawchenko,31,373,Cleveland Monsters,away
